x,y,z
0.0,0.0,0.0
-0.027000904083251953,-0.026047229766845703,-0.024437904357910156
-0.05990266799926758,-0.05868077278137207,-0.04610419273376465
-0.11920928955078125,-0.13455748558044434,-0.07638335227966309
-0.15246868133544922,-0.1887679100036621,-0.1049041748046875
-0.18656253814697266,-0.2314150333404541,-0.12689828872680664
-0.21952390670776367,-0.2784132957458496,-0.14549493789672852
-0.25343894958496094,-0.33733248710632324,-0.16930699348449707
-0.2856254577636719,-0.38245320320129395,-0.18578767776489258
-0.3256797790527344,-0.4380345344543457,-0.21770596504211426
-0.35899877548217773,-0.47662854194641113,-0.23639202117919922
-0.38754940032958984,-0.5295276641845703,-0.2707839012145996
-0.42617321014404297,-0.5814135074615479,-0.30112266540527344
-0.4680752754211426,-0.6247460842132568,-0.33473968505859375
-0.5051493644714355,-0.6519854068756104,-0.36901235580444336
-0.5438327789306641,-0.6712377071380615,-0.39765238761901855
-0.5870461463928223,-0.6844401359558105,-0.42822957038879395
-0.6558895111083984,-0.6909668445587158,-0.48860907554626465
-0.6917715072631836,-0.697404146194458,-0.5173385143280029
-0.7266402244567871,-0.6996989250183105,-0.5509555339813232
-0.7573962211608887,-0.7191896438598633,-0.5836188793182373
-0.7800459861755371,-0.7396042346954346,-0.620037317276001
-0.8050203323364258,-0.7642209529876709,-0.6650388240814209
-0.8299946784973145,-0.7910728454589844,-0.7116794586181641
-0.8533000946044922,-0.8187294006347656,-0.7598698139190674
-0.8732080459594727,-0.8390843868255615,-0.8066296577453613
-0.8993148803710938,-0.851660966873169,-0.8560121059417725
-0.924527645111084,-0.8657872676849365,-0.9006261825561523
-0.9362101554870605,-0.8758604526519775,-0.9449124336242676
-0.9801983833312988,-0.8838176727294922,-1.043260097503662
-0.9970664978027344,-0.8734464645385742,-1.0818839073181152
-1.016557216644287,-0.8533000946044922,-1.1299848556518555
-1.0300278663635254,-0.8388757705688477,-1.176685094833374
-1.0461211204528809,-0.8161962032318115,-1.2228786945343018
-1.0647773742675781,-0.7955729961395264,-1.2794137001037598
-1.0712146759033203,-0.7883906364440918,-1.334846019744873
-1.0766386985778809,-0.7824599742889404,-1.3827979564666748
-1.077115535736084,-0.7958114147186279,-1.5025436878204346
-1.076817512512207,-0.8091330528259277,-1.5644729137420654
-1.072525978088379,-0.8207559585571289,-1.6312003135681152
-1.0629892349243164,-0.8366405963897705,-1.6946792602539062
-1.0578632354736328,-0.8432269096374512,-1.7600953578948975
-1.043558120727539,-0.8554458618164062,-1.816868782043457
-1.0266304016113281,-0.9042024612426758,-1.9391775131225586
-1.0048151016235352,-0.9347200393676758,-2.0024776458740234
-0.9880661964416504,-0.9723007678985596,-2.0650923252105713
-0.9644627571105957,-1.003175973892212,-2.1368563175201416
-0.9446144104003906,-1.0538101196289062,-2.2115111351013184
-0.9172558784484863,-1.088470220565796,-2.280622720718384
-0.8999109268188477,-1.1346042156219482,-2.3584067821502686
-0.8462071418762207,-1.2477338314056396,-2.508699893951416
-0.8191466331481934,-1.3232231140136719,-2.5895237922668457
-0.7854104042053223,-1.3977289199829102,-2.6790201663970947
-0.7455348968505859,-1.4865994453430176,-2.7711093425750732
-0.714719295501709,-1.581639051437378,-2.8651654720306396
-0.6843209266662598,-1.6779005527496338,-2.9656589031219482
-0.6523728370666504,-1.7708241939544678,-3.0621588230133057
-0.6244182586669922,-1.8693208694458008,-3.158062696456909
-0.5915164947509766,-1.962035894393921,-3.2487213611602783
-0.5379319190979004,-2.1746456623077393,-3.4428834915161133
-0.507354736328125,-2.293139696121216,-3.5443902015686035
-0.46902894973754883,-2.4216175079345703,-3.6607682704925537
-0.42706727981567383,-2.557516098022461,-3.77616286277771
