x,y,z
0.0,0.0,0.0
-0.0863000750541687,-0.14610588550567627,-0.14068186283111572
-0.26781484484672546,-0.44599175453186035,-0.4304945468902588
-0.3476254642009735,-0.6070882081985474,-0.5798190832138062
-0.42513757944107056,-0.7668733596801758,-0.7377713918685913
-0.4949122667312622,-0.9162276983261108,-0.896841287612915
-0.574406236410141,-1.060590147972107,-1.059889793395996
-0.6550326943397522,-1.1973381042480469,-1.223042607307434
-0.7288791239261627,-1.319974660873413,-1.3794749975204468
-0.7912851870059967,-1.4393031597137451,-1.5176832675933838
-0.8902028203010559,-1.6385316848754883,-1.7628669738769531
-0.9359940886497498,-1.726597547531128,-1.8732845783233643
-0.9767822921276093,-1.8174052238464355,-1.9717812538146973
-1.014992594718933,-1.8962174654006958,-2.072840929031372
-1.0506920516490936,-1.9766837358474731,-2.168700098991394
-1.0821856558322906,-2.05017626285553,-2.259373664855957
-1.109384000301361,-2.1256208419799805,-2.3411959409713745
-1.1158809065818787,-2.306610345840454,-2.5146454572677612
-1.1258013546466827,-2.372950315475464,-2.598509192466736
-1.139618456363678,-2.4358034133911133,-2.672642469406128
-1.1502467095851898,-2.4895668029785156,-2.74030864238739
-1.1561550199985504,-2.550750970840454,-2.80742347240448
-1.1709891259670258,-2.612486481666565,-2.8687119483947754
-1.181960105895996,-2.667441964149475,-2.9332637786865234
-1.1925622820854187,-2.7236342430114746,-2.9922276735305786
-1.2075230479240417,-2.7818679809570312,-3.0478090047836304
-1.2311115860939026,-2.833530306816101,-3.1037330627441406
-1.256316900253296,-2.8990209102630615,-3.160223364830017
-1.3210736215114594,-3.0492693185806274,-3.2810717821121216
-1.35774165391922,-3.1305253505706787,-3.349781036376953
-1.3898499310016632,-3.216773271560669,-3.4100860357284546
-1.4204643666744232,-3.308117389678955,-3.4777075052261353
-1.4357790350914001,-3.388136625289917,-3.5417526960372925
-1.4502368867397308,-3.4743398427963257,-3.6008059978485107
-1.4580748975276947,-3.549724817276001,-3.6602020263671875
-1.4418736100196838,-3.686681389808655,-3.7622302770614624
-1.4252550899982452,-3.7498772144317627,-3.8130581378936768
-1.4052055776119232,-3.810867667198181,-3.864586353302002
-1.3763047754764557,-3.8724541664123535,-3.9044320583343506
-1.3482309877872467,-3.92700731754303,-3.9512664079666138
-1.3194270431995392,-3.9765238761901855,-3.992900252342224
-1.2981109321117401,-4.030272364616394,-4.037737846374512
-1.2810491025447845,-4.083499312400818,-4.073590040206909
-1.2641288340091705,-4.131093621253967,-4.102393984794617
-1.2526772916316986,-4.187256097793579,-4.126787185668945
-1.2430213391780853,-4.244819283485413,-4.146814346313477
-1.228470355272293,-4.297167062759399,-4.161477088928223
-1.2138038873672485,-4.342600703239441,-4.175841808319092
-1.1883266270160675,-4.381552338600159,-4.18323278427124
-1.1664070188999176,-4.4080764055252075,-4.190653562545776
-1.13595649600029,-4.436463117599487,-4.194527864456177
-1.106027513742447,-4.454523324966431,-4.19364869594574
-1.0382458567619324,-4.482775926589966,-4.19732928276062
-1.0382458567619324,-4.482775926589966,-4.19732928276062
-0.9754151105880737,-4.503428936004639,-4.189684987068176
-0.9497404098510742,-4.5124441385269165,-4.1878074407577515
-0.9222663938999176,-4.521429538726807,-4.193246364593506
-0.8942559361457825,-4.529118537902832,-4.19655442237854
-0.8668899536132812,-4.5404136180877686,-4.200935363769531
-0.8351840078830719,-4.547744989395142,-4.207104444503784
-0.796489417552948,-4.55811619758606,-4.200831055641174
-0.7493942975997925,-4.557386040687561,-4.18543815612793
-0.6899908185005188,-4.547104239463806,-4.178687930107117
-0.6126947700977325,-4.524111747741699,-4.156395792961121
-0.5163103342056274,-4.494965076446533,-4.136130213737488
-0.2797059714794159,-4.407048225402832,-4.085719585418701
-0.12696534395217896,-4.347667098045349,-4.057079553604126
0.03306567668914795,-4.276588559150696,-4.015669226646423
0.20905956625938416,-4.206255078315735,-3.9698630571365356
0.40639936923980713,-4.129096865653992,-3.9330869913101196
