time,x,y,z
(2.8736256000000004+0j),(89.51781485476029+0j),(-79.28702569602157+0j),(68.36042315669481+0j)
(2.8788348+0j),(90.00992333449945+0j),(-79.58468440228434+0j),(68.59285460526469+0j)
(2.8838726+0j),(91.0271389439754+0j),(-80.18745267933714+0j),(69.14099963143532+0j)
(2.8888364000000006+0j),(91.51300250328313+0j),(-80.4630845530757+0j),(69.35376050511961+0j)
(2.8933405000000008+0j),(92.03345533105299+0j),(-80.75626133615063+0j),(69.59127335136542+0j)
(2.8973549+0j),(92.55779091532678+0j),(-81.04123522458904+0j),(69.82673625449814+0j)
(2.9013741+0j),(93.05705431058223+0j),(-81.33840430661398+0j),(70.07598448736556+0j)
(2.9056493000000003+0j),(93.56728597796102+0j),(-81.6238402526921+0j),(70.3202259545238+0j)
(2.9104042000000003+0j),(94.06705912817121+0j),(-81.89166916093241+0j),(70.55024040169279+0j)
(2.914578200000001+0j),(94.5485405426018+0j),(-82.16391335487226+0j),(70.81666408331282+0j)
(2.91943+0j),(95.05706307033442+0j),(-82.410627589725+0j),(71.07700819459383+0j)
(2.9240566+0j),(95.56407469281025+0j),(-82.68052980265588+0j),(71.31105503834596+0j)
(2.9284915+0j),(96.05794931377913+0j),(-82.92231161936934+0j),(71.57195378550847+0j)
(2.933837500000001+0j),(97.07970867024409+0j),(-83.46413857140949+0j),(72.17494386344573+0j)
(2.938394500000001+0j),(97.57546569210533+0j),(-83.7105643491741+0j),(72.44266156217316+0j)
(2.9424590000000013+0j),(98.0786423197568+0j),(-83.97087568350574+0j),(72.72468727979381+0j)
(2.9478329+0j),(98.57910972976605+0j),(-84.23316064568249+0j),(72.96704872854986+0j)
(2.9528274000000003+0j),(99.08989474942894+0j),(-84.46706544601261+0j),(73.2235515102733+0j)
(2.9576723000000005+0j),(99.61188728891862+0j),(-84.70898003334005+0j),(73.4788908031856+0j)
(2.9621608000000013+0j),(100.13194996825945+0j),(-84.95390568510771+0j),(73.75320439882965+0j)
(2.967360900000001+0j),(101.16878038441551+0j),(-85.52941824969196+0j),(74.35192631194849+0j)
(2.971387700000001+0j),(101.69114210022053+0j),(-85.77226129255904+0j),(74.62966668730738+0j)
(2.9768583+0j),(102.24702311036691+0j),(-85.99674910289926+0j),(74.85141715224886+0j)
(2.9811818+0j),(102.80240142132644+0j),(-86.24663724463169+0j),(75.11313794035419+0j)
(2.9855187+0j),(103.32871264330257+0j),(-86.50849588016708+0j),(75.36331658291509+0j)
(2.9894972000000006+0j),(103.86518318480903+0j),(-86.77771514164414+0j),(75.62244672814036+0j)
(2.9939800000000005+0j),(104.40837339401295+0j),(-87.02451200374264+0j),(75.85636192179062+0j)
(2.9984482999999997+0j),(104.98531271674365+0j),(-87.27036152250083+0j),(76.10176017698853+0j)
(3.0037573999999996+0j),(105.53399164340829+0j),(-87.54483881735078+0j),(76.32882506009082+0j)
(3.008616100000001+0j),(106.61969987267642+0j),(-88.07292643233858+0j),(76.89952002382195+0j)
(3.013693700000001+0j),(107.20155263288657+0j),(-88.29602575997203+0j),(77.12144285089532+0j)
(3.018158100000001+0j),(107.76582476700945+0j),(-88.58825546266536+0j),(77.37136885878525+0j)
(3.0222128+0j),(108.30535077094036+0j),(-88.88059502475907+0j),(77.60974260001998+0j)
