x,y,z
0.0,0.0,0.0
0.038623809814453125,0.03203749656677246,-0.0852346420288086
0.07927417755126953,0.033468008041381836,-0.17029047012329102
0.14352798461914062,0.07513165473937988,-0.3458559513092041
0.16736984252929688,0.08994340896606445,-0.4264414310455322
0.1976490020751953,0.10469555854797363,-0.5125105381011963
0.22399425506591797,0.11149048805236816,-0.6043612957000732
0.24831295013427734,0.12370944023132324,-0.6993412971496582
0.2853870391845703,0.13327598571777344,-0.8803904056549072
0.30219554901123047,0.1367628574371338,-0.965416431427002
0.3191232681274414,0.13810396194458008,-1.0617077350616455
0.32901763916015625,0.13756752014160156,-1.1574327945709229
0.33545494079589844,0.12734532356262207,-1.2555122375488281
0.3361701965332031,0.13458728790283203,-1.346200704574585
0.33605098724365234,0.1278519630432129,-1.4459490776062012
0.32901763916015625,0.13178586959838867,-1.6420185565948486
0.32329559326171875,0.13297796249389648,-1.7328262329101562
0.3103017807006836,0.12308359146118164,-1.81502103805542
0.29289722442626953,0.1245737075805664,-1.904219388961792
0.2777576446533203,0.12055039405822754,-1.986861228942871
0.25391578674316406,0.11673569679260254,-2.0661354064941406
0.18727779388427734,0.1195371150970459,-2.215832471847534
0.1518726348876953,0.11673569679260254,-2.287447452545166
0.12087821960449219,0.1099705696105957,-2.3671388626098633
0.08237361907958984,0.10007619857788086,-2.433985471725464
0.044465065002441406,0.08866190910339355,-2.509951591491699
0.009059906005859375,0.07030367851257324,-2.5758445262908936
-0.031113624572753906,0.05307793617248535,-2.63899564743042
-0.1207590103149414,0.024586915969848633,-2.7585625648498535
-0.16558170318603516,0.01481175422668457,-2.8190910816192627
-0.21338462829589844,0.0013709068298339844,-2.87744402885437
-0.25451183319091797,-0.008732080459594727,-2.9306113719940186
-0.34499168395996094,-0.04583597183227539,-3.031224012374878
-0.39458274841308594,-0.06982684135437012,-3.080397844314575
-0.43904781341552734,-0.09736418724060059,-3.131270408630371
-0.47957897186279297,-0.11295080184936523,-3.182321786880493
-0.5207061767578125,-0.14141201972961426,-3.223240375518799
-0.5735158920288086,-0.16510486602783203,-3.2687485218048096
-0.6232261657714844,-0.19305944442749023,-3.317594528198242
-0.7159709930419922,-0.26357173919677734,-3.40193510055542
-0.75531005859375,-0.28377771377563477,-3.4377574920654297
-0.8022785186767578,-0.3179311752319336,-3.465712070465088
-0.8436441421508789,-0.36263465881347656,-3.502875566482544
-0.8846521377563477,-0.3865957260131836,-3.5400390625
-0.9784698486328125,-0.44086575508117676,-3.6111772060394287
-1.0324716567993164,-0.48214197158813477,-3.654003143310547
-1.0794401168823242,-0.5143284797668457,-3.6960840225219727
-1.1218786239624023,-0.5516409873962402,-3.7342309951782227
-1.1701583862304688,-0.5845725536346436,-3.7745237350463867
-1.259922981262207,-0.6460249423980713,-3.8704872131347656
-1.3034343719482422,-0.6801486015319824,-3.916919231414795
-1.3526678085327148,-0.7105767726898193,-3.963768482208252
-1.401066780090332,-0.731348991394043,-4.020065069198608
-1.4569759368896484,-0.7693469524383545,-4.0749311447143555
-1.5136003494262695,-0.8082687854766846,-4.132986068725586
-1.574873924255371,-0.8440911769866943,-4.195213317871094
-1.6859769821166992,-0.9256303310394287,-4.308164119720459
-1.7457008361816406,-0.9627342224121094,-4.367619752883911
-1.7980337142944336,-0.9919106960296631,-4.426926374435425
-1.8578767776489258,-1.0179579257965088,-4.48918342590332
-1.9112825393676758,-1.0389983654022217,-4.542261362075806
-1.9643306732177734,-1.0660290718078613,-4.60478663444519
-2.0176172256469727,-1.1061429977416992,-4.670560359954834
-2.070307731628418,-1.1401772499084473,-4.7386884689331055
-2.164483070373535,-1.2152791023254395,-4.861205816268921
-2.2083520889282227,-1.255810260772705,-4.931122064590454
-2.2568702697753906,-1.2832283973693848,-4.995882511138916
-2.3006200790405273,-1.3026893138885498,-5.056232213973999
-2.3479461669921875,-1.338362693786621,-5.1184892654418945
-2.434849739074707,-1.3926327228546143,-5.2475035190582275
-2.470731735229492,-1.4230012893676758,-5.317986011505127
-2.5064945220947266,-1.4571845531463623,-5.392134189605713
-2.5397539138793945,-1.4819204807281494,-5.467623472213745
-2.5780200958251953,-1.4996826648712158,-5.549430847167969
-2.610325813293457,-1.5293359756469727,-5.62971830368042
-2.644777297973633,-1.5471577644348145,-5.711734294891357
-2.718806266784668,-1.562356948852539,-5.885481834411621
-2.7550458908081055,-1.5754103660583496,-5.975455045700073
-2.79080867767334,-1.5880763530731201,-6.063699722290039
-2.827882766723633,-1.6055405139923096,-6.147295236587524
-2.8619766235351562,-1.619964838027954,-6.237506866455078
-2.923727035522461,-1.6238987445831299,-6.403416395187378
-2.95412540435791,-1.616060733795166,-6.4865946769714355
-2.9861927032470703,-1.606076955795288,-6.56554102897644
-3.0159950256347656,-1.5936493873596191,-6.644457578659058
-3.042936325073242,-1.5870630741119385,-6.724029779434204
-3.0715465545654297,-1.5870630741119385,-6.80917501449585
-3.107428550720215,-1.5800893306732178,-6.973296403884888
-3.1256675720214844,-1.5624165534973145,-7.056325674057007
-3.143429756164551,-1.5396177768707275,-7.139354944229126
-3.167271614074707,-1.5127360820770264,-7.217645645141602
-3.191828727722168,-1.4955103397369385,-7.301211357116699
-3.211498260498047,-1.4673173427581787,-7.38862156867981
-3.2275915145874023,-1.4429986476898193,-7.461488246917725
-3.260970115661621,-1.3832449913024902,-7.614314556121826
-3.2747983932495117,-1.3555586338043213,-7.693558931350708
-3.281712532043457,-1.3290643692016602,-7.777184247970581
-3.2869577407836914,-1.3086497783660889,-7.854759693145752
-3.294825553894043,-1.2664794921875,-7.935613393783569
-3.2984018325805664,-1.2312829494476318,-8.012652397155762
-3.307223320007324,-1.190096139907837,-8.096158504486084
-3.3104419708251953,-1.1272728443145752,-8.257627487182617
-3.3069849014282227,-1.100093126296997,-8.34164023399353
-3.3080577850341797,-1.079559326171875,-8.434414863586426
-3.2973289489746094,-1.0534226894378662,-8.522093296051025
-3.2826662063598633,-1.019597053527832,-8.607596158981323
-3.2792091369628906,-0.9855329990386963,-8.690595626831055
-3.2758712768554688,-0.9399354457855225,-8.768677711486816
-3.2689571380615234,-0.896066427230835,-8.842766284942627
-3.2546520233154297,-0.8485317230224609,-8.923232555389404
-3.224968910217285,-0.7775723934173584,-9.081453084945679
-3.209233283996582,-0.7374286651611328,-9.160846471786499
-3.1870603561401367,-0.7172524929046631,-9.237527847290039
-3.161907196044922,-0.6726980209350586,-9.31239128112793
-3.1377077102661133,-0.6395578384399414,-9.3802809715271
-3.1175613403320312,-0.5919337272644043,-9.439677000045776
-3.0966997146606445,-0.5568563938140869,-9.502291679382324
-3.079533576965332,-0.5221366882324219,-9.564220905303955
-3.056168556213379,-0.5039572715759277,-9.62093472480774
-3.0143260955810547,-0.467151403427124,-9.74208116531372
-2.98464298248291,-0.4520714282989502,-9.802043437957764
-2.960205078125,-0.42679905891418457,-9.876549243927002
-2.9469728469848633,-0.3997385501861572,-9.93889570236206
-2.924203872680664,-0.37360191345214844,-10.00019907951355
-2.908945083618164,-0.3338158130645752,-10.046392679214478
-2.898097038269043,-0.3059208393096924,-10.098308324813843
-2.8830766677856445,-0.28142333030700684,-10.147303342819214
-2.8482675552368164,-0.24375319480895996,-10.266304016113281
-2.8284788131713867,-0.24372339248657227,-10.329365730285645
-2.807140350341797,-0.2466440200805664,-10.39162278175354
-2.786874771118164,-0.23934245109558105,-10.454714298248291
-2.737283706665039,-0.24977326393127441,-10.571986436843872
-2.7158260345458984,-0.25010108947753906,-10.627269744873047
-2.6940107345581055,-0.253528356552124,-10.684013366699219
-2.6720762252807617,-0.2754628658294678,-10.742247104644775
-2.6410818099975586,-0.28973817825317383,-10.800272226333618
-2.614259719848633,-0.30681490898132324,-10.852724313735962
-2.541065216064453,-0.3418922424316406,-10.97559928894043
-2.498626708984375,-0.3618299961090088,-11.03585958480835
-2.4558305740356445,-0.38048624992370605,-11.088818311691284
-2.4144649505615234,-0.4017055034637451,-11.137634515762329
-2.3651123046875,-0.44399499893188477,-11.191457509994507
-2.315640449523926,-0.4779696464538574,-11.240512132644653
-2.2155046463012695,-0.5792081356048584,-11.342048645019531
-2.1598339080810547,-0.6333291530609131,-11.398941278457642
-2.105832099914551,-0.6985664367675781,-11.462748050689697
-2.0581483840942383,-0.7564425468444824,-11.505544185638428
-2.0003318786621094,-0.8022487163543701,-11.56151294708252
-1.8982887268066406,-0.8863508701324463,-11.653900146484375
-1.8466711044311523,-0.9281039237976074,-11.706769466400146
-1.7913579940795898,-0.9657740592956543,-11.753767728805542
-1.7303228378295898,-1.0159313678741455,-11.808514595031738
-1.6711950302124023,-1.057267189025879,-11.865079402923584
-1.6046762466430664,-1.1098086833953857,-11.931031942367554
-1.543879508972168,-1.154392957687378,-11.994749307632446
-1.4814138412475586,-1.2066960334777832,-12.060791254043579
-1.3349056243896484,-1.288771629333496,-12.172073125839233
-1.2603998184204102,-1.346290111541748,-12.232184410095215
-1.186370849609375,-1.3921856880187988,-12.291312217712402
-1.1048316955566406,-1.4500617980957031,-12.356579303741455
-1.028299331665039,-1.5082955360412598,-12.425482273101807
-0.9495019912719727,-1.554727554321289,-12.49009370803833
-0.8646249771118164,-1.5853345394134521,-12.54996657371521
-0.7758140563964844,-1.607656478881836,-12.603312730789185
-0.6959438323974609,-1.6292333602905273,-12.65805959701538
-0.6192922592163086,-1.6444921493530273,-12.705475091934204
-0.5422830581665039,-1.6505718231201172,-12.763112783432007
-0.4668235778808594,-1.656949520111084,-12.814253568649292
-0.3184080123901367,-1.7115771770477295,-12.95018196105957
-0.2503395080566406,-1.7271041870117188,-13.02996277809143
-0.18525123596191406,-1.7666816711425781,-13.108044862747192
-0.11432170867919922,-1.7910301685333252,-13.191819190979004
-0.04589557647705078,-1.827538013458252,-13.270080089569092
0.02086162567138672,-1.8605291843414307,-13.35287094116211
