x,y,z
0.0,0.0,0.0
-0.045180320739746094,-0.08273124694824219,-0.23922324180603027
-0.1494884490966797,-0.28064846992492676,-0.7384419441223145
-0.19812583923339844,-0.39523839950561523,-0.9905397891998291
-0.24271011352539062,-0.4862546920776367,-1.2395381927490234
-0.28061866760253906,-0.5736052989959717,-1.4695525169372559
-0.3197193145751953,-0.6568431854248047,-1.7095208168029785
-0.36406517028808594,-0.7531940937042236,-1.9466280937194824
-0.41544437408447266,-0.8372068405151367,-2.191603183746338
-0.47016143798828125,-0.9183883666992188,-2.4251937866210938
-0.5278587341308594,-1.0256767272949219,-2.662837505340576
-0.5881786346435547,-1.1317431926727295,-2.904444932937622
-0.6875991821289062,-1.3311505317687988,-3.3912360668182373
-0.7396936416625977,-1.4367103576660156,-3.628283739089966
-0.7855892181396484,-1.53389573097229,-3.8619935512542725
-0.827789306640625,-1.628875732421875,-4.09168004989624
-0.8774995803833008,-1.7285048961639404,-4.326879978179932
-0.9332895278930664,-1.8245875835418701,-4.565000534057617
-1.0246038436889648,-2.0009279251098633,-5.049943923950195
-1.069188117980957,-2.079516649246216,-5.284130573272705
-1.104116439819336,-2.1484792232513428,-5.528628826141357
-1.1404752731323242,-2.226024866104126,-5.764365196228027
-1.2148618698120117,-2.35942006111145,-6.208688020706177
-1.263737678527832,-2.4270713329315186,-6.440341472625732
-1.3108253479003906,-2.4921298027038574,-6.668388843536377
-1.3602972030639648,-2.561599016189575,-6.896257400512695
-1.4090538024902344,-2.6198923587799072,-7.1170032024383545
-1.4581680297851562,-2.678990364074707,-7.340848445892334
-1.4995336532592773,-2.7375221252441406,-7.566958665847778
-1.543283462524414,-2.7908682823181152,-7.7928900718688965
-1.6423463821411133,-2.9075443744659424,-8.249640464782715
-1.6921758651733398,-2.947986125946045,-8.474349975585938
-1.744389533996582,-2.9838383197784424,-8.696019649505615
-1.8106698989868164,-3.0049681663513184,-8.920222520828247
-1.8857717514038086,-3.023475408554077,-9.149670600891113
-1.9611120223999023,-3.0405521392822266,-9.38001275062561
-2.0368099212646484,-3.0385851860046387,-9.594440460205078
-2.215147018432617,-3.061056137084961,-10.050743818283081
-2.308368682861328,-3.0645132064819336,-10.283410549163818
-2.408623695373535,-3.066539764404297,-10.500818490982056
-2.516627311706543,-3.0620694160461426,-10.724514722824097
-2.6314258575439453,-3.050863742828369,-10.954886674880981
-2.7370452880859375,-3.0242502689361572,-11.18314266204834
-2.843022346496582,-3.005772829055786,-11.415541172027588
-3.051280975341797,-2.967655658721924,-11.889159679412842
-3.1589269638061523,-2.9461681842803955,-12.133389711380005
-3.2775402069091797,-2.9248595237731934,-12.364417314529419
-3.402113914489746,-2.8946101665496826,-12.59949803352356
-3.528118133544922,-2.854645252227783,-12.829840183258057
-3.6464929580688477,-2.801865339279175,-13.049781322479248
-3.88491153717041,-2.71490216255188,-13.514488935470581
-4.00233268737793,-2.663552761077881,-13.75514268875122
-4.120588302612305,-2.6139914989471436,-13.980060815811157
-4.230380058288574,-2.5669336318969727,-14.203280210494995
-4.3288469314575195,-2.521604299545288,-14.41967487335205
-4.430294036865234,-2.47153639793396,-14.63162899017334
-4.633307456970215,-2.3493170738220215,-15.051215887069702
-4.740238189697266,-2.285569906234741,-15.243768692016602
-4.837393760681152,-2.2260546684265137,-15.444457530975342
-4.936337471008301,-2.173125743865967,-15.630543231964111
-5.037188529968262,-2.120465040206909,-15.812665224075317
-5.247592926025391,-1.9988715648651123,-16.165822744369507
-5.357265472412109,-1.9231140613555908,-16.34293794631958
-5.460262298583984,-1.852661371231079,-16.514360904693604
-5.556464195251465,-1.7902553081512451,-16.68831706047058
-5.647897720336914,-1.7197132110595703,-16.860663890838623
-5.741477012634277,-1.6469061374664307,-17.027229070663452
-5.932450294494629,-1.505434513092041,-17.348825931549072
-6.033420562744141,-1.426994800567627,-17.506420612335205
-6.13093376159668,-1.347869634628296,-17.658740282058716
-6.236553192138672,-1.2738704681396484,-17.803966999053955
-6.349682807922363,-1.1921823024749756,-17.9426372051239
-6.471037864685059,-1.0981261730194092,-18.076956272125244
-6.597161293029785,-0.9957551956176758,-18.203258514404297
-6.8634748458862305,-0.8001923561096191,-18.443316221237183
-6.999731063842773,-0.7059574127197266,-18.542885780334473
-7.140398025512695,-0.6048083305358887,-18.639862537384033
-7.283210754394531,-0.5012154579162598,-18.73224973678589
-7.425785064697266,-0.3943443298339844,-18.81241798400879
-7.570981979370117,-0.2803802490234375,-18.87798309326172
-7.717490196228027,-0.17267465591430664,-18.951892852783203
-7.861495018005371,-0.08553266525268555,-19.019335508346558
-8.147716522216797,0.11739134788513184,-19.139111042022705
-8.283853530883789,0.22155046463012695,-19.181936979293823
-8.408069610595703,0.31173229217529297,-19.215017557144165
-8.538365364074707,0.4226863384246826,-19.24338936805725
-8.6747407913208,0.5412399768829346,-19.268125295639038
-8.925080299377441,0.7883608341217041,-19.291281700134277
-9.044170379638672,0.8863508701324463,-19.294828176498413
-9.147286415100098,0.9802579879760742,-19.283264875411987
-9.241223335266113,1.0699033737182617,-19.274234771728516
-9.327292442321777,1.1473894119262695,-19.26204562187195
-9.411454200744629,1.2159645557403564,-19.23653483390808
-9.494304656982422,1.2878179550170898,-19.215822219848633
-9.571313858032227,1.3427138328552246,-19.188880920410156
-9.717822074890137,1.4448761940002441,-19.111812114715576
-9.781241416931152,1.4784932136535645,-19.068926572799683
-9.843587875366211,1.5069544315338135,-19.024640321731567
-9.8952054977417,1.536548137664795,-18.977880477905273
-9.945988655090332,1.5506744384765625,-18.92980933189392
-9.98687744140625,1.5654265880584717,-18.876969814300537
-10.032176971435547,1.5856623649597168,-18.826156854629517
-10.078787803649902,1.598954200744629,-18.76431703567505
-10.119915008544922,1.6207993030548096,-18.70456337928772
-10.164856910705566,1.6343891620635986,-18.65258812904358
-10.260581970214844,1.6535818576812744,-18.55042576789856
-10.310173034667969,1.6436278820037842,-18.50345730781555
-10.363221168518066,1.633971929550171,-18.457084894180298
-10.410547256469727,1.6162991523742676,-18.414974212646484
-10.464310646057129,1.5986263751983643,-18.36758852005005
-10.527610778808594,1.5681982040405273,-18.31740140914917
-10.590314865112305,1.5499889850616455,-18.270164728164673
-10.65516471862793,1.5312731266021729,-18.221378326416016
-10.79559326171875,1.4843642711639404,-18.126249313354492
-10.872840881347656,1.4574229717254639,-18.076449632644653
-10.95116138458252,1.4306306838989258,-18.025457859039307
-11.028409004211426,1.4001727104187012,-17.97574758529663
-11.110067367553711,1.372218132019043,-17.921358346939087
-11.274337768554688,1.3274848461151123,-17.812997102737427
-11.365056037902832,1.2999475002288818,-17.75979995727539
-11.451005935668945,1.2804269790649414,-17.70874857902527
-11.53254508972168,1.2579560279846191,-17.64938235282898
-11.609792709350586,1.2311339378356934,-17.588496208190918
-11.69133186340332,1.1870861053466797,-17.529040575027466
-11.8333101272583,1.129835844039917,-17.402172088623047
-11.90042495727539,1.0930299758911133,-17.319917678833008
-11.964678764343262,1.072615385055542,-17.228156328201294
-12.010455131530762,1.0442137718200684,-17.139345407485962
-12.047290802001953,1.01548433303833,-17.032742500305176
-12.08031177520752,0.9831488132476807,-16.934990882873535
-12.10927963256836,0.9474456310272217,-16.82424545288086
-12.11535930633545,0.9111762046813965,-16.709059476852417
-12.132883071899414,0.8218288421630859,-16.456902027130127
-12.143969535827637,0.7955729961395264,-16.32481813430786
-12.138605117797852,0.777125358581543,-16.19720458984375
-12.124776840209961,0.7255375385284424,-15.93029499053955
-12.1077299118042,0.7153153419494629,-15.789628028869629
-12.084007263183594,0.6992220878601074,-15.64517617225647
-12.061595916748047,0.6811916828155518,-15.51145315170288
-12.045145034790039,0.6594955921173096,-15.369147062301636
-12.01784610748291,0.6508231163024902,-15.22672176361084
-12.002348899841309,0.6434023380279541,-15.07064700126648
-11.988401412963867,0.6431937217712402,-14.920592308044434
-11.950135231018066,0.6471872329711914,-14.629513025283813
-11.934995651245117,0.6571710109710693,-14.485210180282593
-11.921525001525879,0.6646513938903809,-14.359116554260254
-11.911511421203613,0.6767213344573975,-14.237731695175171
-11.902213096618652,0.6829798221588135,-14.119893312454224
-11.89124584197998,0.7026195526123047,-14.005333185195923
-11.88647747039795,0.7253587245941162,-13.89351487159729
-11.884570121765137,0.8136928081512451,-13.675063848495483
-11.890530586242676,0.8613765239715576,-13.559073209762573
-11.901378631591797,0.9286403656005859,-13.447582721710205
-11.9096040725708,0.9968578815460205,-13.341456651687622
-11.920452117919922,1.0741949081420898,-13.225555419921875
-11.93249225616455,1.1562108993530273,-13.11260461807251
-11.9476318359375,1.2394487857818604,-13.002753257751465
-11.967778205871582,1.4217793941497803,-12.77381181716919
-11.984825134277344,1.5230774879455566,-12.6570463180542
-11.992454528808594,1.6270875930786133,-12.544393539428711
-12.004494667053223,1.7207860946655273,-12.423783540725708
-12.014627456665039,1.820296049118042,-12.312084436416626
-12.018442153930664,1.9039809703826904,-12.201488018035889
-12.02237606048584,2.066195011138916,-11.990964412689209
-12.015819549560547,2.1528303623199463,-11.883944272994995
-12.015104293823242,2.238750457763672,-11.770576238632202
-12.009978294372559,2.3425519466400146,-11.646866798400879
-12.001633644104004,2.4532079696655273,-11.521369218826294
-11.99197769165039,2.5649666786193848,-11.382073163986206
-11.978507041931152,2.6736557483673096,-11.244356632232666
-11.958718299865723,2.7799010276794434,-11.10890507698059
-11.940836906433105,2.8824210166931152,-10.977298021316528
-11.892437934875488,3.049910068511963,-10.744035243988037
-11.862874031066895,3.131747245788574,-10.622173547744751
-11.828899383544922,3.2181739807128906,-10.49831509590149
-11.786937713623047,3.2982230186462402,-10.377347469329834
-11.7417573928833,3.3752024173736572,-10.25804877281189
-11.693477630615234,3.4469962120056152,-10.137081146240234
-11.635661125183105,3.5147368907928467,-10.021239519119263
-11.495232582092285,3.6299526691436768,-9.800195693969727
-11.418581008911133,3.6898255348205566,-9.685784578323364
-11.332869529724121,3.747910261154175,-9.572476148605347
-11.24882698059082,3.8028359413146973,-9.46497917175293
-11.1616849899292,3.8598477840423584,-9.343177080154419
-11.07478141784668,3.915637731552124,-9.235918521881104
-10.984659194946289,3.960937261581421,-9.125292301177979
-10.890841484069824,3.9970874786376953,-9.02506709098816
-10.795354843139648,4.032999277114868,-8.929550647735596
-10.700345039367676,4.079490900039673,-8.835166692733765
-10.514497756958008,4.153043031692505,-8.671373128890991
-10.416030883789062,4.196435213088989,-8.593231439590454
-10.319113731384277,4.251211881637573,-8.508950471878052
-10.224461555480957,4.304617643356323,-8.429199457168579
-10.129928588867188,4.340618848800659,-8.341044187545776
-10.03730297088623,4.40552830696106,-8.25396180152893
-9.84501838684082,4.4963061809539795,-8.102178573608398
-9.746909141540527,4.555016756057739,-8.025497198104858
-9.646892547607422,4.612982273101807,-7.9555511474609375
-9.546756744384766,4.667162895202637,-7.8935325145721436
-9.45436954498291,4.726111888885498,-7.834404706954956
-9.361028671264648,4.772007465362549,-7.785528898239136
-9.263396263122559,4.807531833648682,-7.737278938293457
-9.165406227111816,4.848897457122803,-7.699936628341675
-9.07135009765625,4.880666732788086,-7.66262412071228
-8.970856666564941,4.915028810501099,-7.626146078109741
-8.872389793395996,4.937022924423218,-7.59008526802063
-8.771419525146484,4.964470863342285,-7.555723190307617
-8.674144744873047,4.995822906494141,-7.529735565185547
-8.575439453125,5.022644996643066,-7.489532232284546
-8.481383323669434,5.062401294708252,-7.455736398696899
-8.373379707336426,5.09411096572876,-7.416248321533203
-8.262395858764648,5.1285624504089355,-7.374316453933716
-8.147954940795898,5.1635801792144775,-7.335692644119263
-8.033275604248047,5.1972270011901855,-7.301032543182373
-7.917284965515137,5.212217569351196,-7.271468639373779
-7.685303688049316,5.255401134490967,-7.214844226837158
-7.566094398498535,5.277782678604126,-7.1818530559539795
-7.443428039550781,5.291849374771118,-7.153898477554321
-7.321000099182129,5.2919089794158936,-7.122308015823364
-7.191658020019531,5.28225302696228,-7.095664739608765
-7.057785987854004,5.2766501903533936,-7.06326961517334
-6.919622421264648,5.2679479122161865,-7.023245096206665
-6.773591041564941,5.260646343231201,-6.987661123275757
-6.621718406677246,5.259066820144653,-6.95490837097168
-6.461858749389648,5.254179239273071,-6.917774677276611
-6.314277648925781,5.248039960861206,-6.882041692733765
-6.159305572509766,5.227535963058472,-6.8486034870147705
-6.0089826583862305,5.211114883422852,-6.800651550292969
-5.849957466125488,5.1926374435424805,-6.7514777183532715
-5.525350570678711,5.150496959686279,-6.6422224044799805
-5.3626298904418945,5.120337009429932,-6.582587957382202
-5.191802978515625,5.0879716873168945,-6.53114914894104
-5.015730857849121,5.060404539108276,-6.477147340774536
-4.833459854125977,5.033284425735474,-6.424754858016968
-4.656434059143066,5.01367449760437,-6.379872560501099
-4.46927547454834,5.007356405258179,-6.3221752643585205
-4.289865493774414,4.987537860870361,-6.261080503463745
-4.117012023925781,4.975944757461548,-6.1987340450286865
-3.7685632705688477,4.9606263637542725,-6.065309047698975
-3.5851001739501953,4.959464073181152,-5.994021892547607
-3.395676612854004,4.954338073730469,-5.915462970733643
-3.2052993774414062,4.9461424350738525,-5.83842396736145
-3.01361083984375,4.944264888763428,-5.767792463302612
-2.6377439498901367,4.930317401885986,-5.609869956970215
-2.4563074111938477,4.928022623062134,-5.5262744426727295
-2.264857292175293,4.92367148399353,-5.4427385330200195
-2.073049545288086,4.916250705718994,-5.348294973373413
-1.8801689147949219,4.9194395542144775,-5.264401435852051
-1.6950368881225586,4.923135042190552,-5.176901817321777
-1.5119314193725586,4.9385130405426025,-5.083322525024414
-1.3287067413330078,4.950970411300659,-4.993677139282227
-1.1420249938964844,4.973083734512329,-4.906892776489258
-0.9517669677734375,4.996895790100098,-4.814863204956055
-0.7688999176025391,5.01251220703125,-4.731863737106323
-0.4055500030517578,5.045145750045776,-4.573792219161987
-0.22912025451660156,5.0604939460754395,-4.4987499713897705
0.12350082397460938,5.078732967376709,-4.361987113952637
0.3126859664916992,5.0834715366363525,-4.284948110580444
0.5080699920654297,5.08001446723938,-4.213541746139526
0.6958246231079102,5.077719688415527,-4.141956567764282
0.8871555328369141,5.077183246612549,-4.061073064804077
1.0647773742675781,5.072981119155884,-3.9873719215393066
1.2542009353637695,5.0653815269470215,-3.9190948009490967
1.4420747756958008,5.055755376815796,-3.8486719131469727
1.6247034072875977,5.0446391105651855,-3.782510757446289
1.8072128295898438,5.0209760665893555,-3.7280917167663574
1.9900798797607422,5.0061047077178955,-3.659844398498535
2.3592710494995117,4.9571692943573,-3.5408437252044678
2.546548843383789,4.93285059928894,-3.486126661300659
2.7294158935546875,4.897892475128174,-3.4390687942504883
2.916097640991211,4.872649908065796,-3.402501344680786
3.1044483184814453,4.838109016418457,-3.3604800701141357
3.2891035079956055,4.794776439666748,-3.3203065395355225
3.4595727920532227,4.7474205493927,-3.2944083213806152
3.6344528198242188,4.700392484664917,-3.2660067081451416
3.815293312072754,4.642516374588013,-3.2303333282470703
4.19926643371582,4.521727561950684,-3.1519532203674316
4.38845157623291,4.455298185348511,-3.12158465385437
4.574894905090332,4.388391971588135,-3.094315528869629
4.7512054443359375,4.327297210693359,-3.0705928802490234
4.928112030029297,4.254728555679321,-3.042250871658325
5.101799964904785,4.187583923339844,-3.0207931995391846
5.2765607833862305,4.108935594558716,-2.9920339584350586
5.448818206787109,4.037290811538696,-2.9594004154205322
5.619406700134277,3.9654970169067383,-2.925276756286621
5.792021751403809,3.87728214263916,-2.8887391090393066
5.960226058959961,3.7980079650878906,-2.8540194034576416
6.290435791015625,3.617614507675171,-2.8114020824432373
6.451010704040527,3.527700901031494,-2.7874410152435303
6.606698036193848,3.4333765506744385,-2.7688443660736084
6.758451461791992,3.346055746078491,-2.7476847171783447
6.898760795593262,3.2542049884796143,-2.72977352142334
7.0362091064453125,3.163158893585205,-2.7017295360565186
7.168889045715332,3.0783116817474365,-2.676725387573242
7.411479949951172,2.9214024543762207,-2.6051104068756104
7.5293779373168945,2.836167812347412,-2.567410469055176
7.640242576599121,2.7466118335723877,-2.5352537631988525
7.751822471618652,2.647608518600464,-2.5013983249664307
7.861614227294922,2.544909715652466,-2.4656057357788086
7.965564727783203,2.44748592376709,-2.4265646934509277
8.069396018981934,2.351313829421997,-2.389967441558838
8.263111114501953,2.148151397705078,-2.3133158683776855
8.347749710083008,2.0498931407928467,-2.2746920585632324
8.435964584350586,1.9488036632537842,-2.2440552711486816
8.520722389221191,1.8446743488311768,-2.1999776363372803
8.60452651977539,1.743704080581665,-2.1564066410064697
8.689165115356445,1.6441643238067627,-2.110034227371216
8.768677711486816,1.5324950218200684,-2.048105001449585
8.852839469909668,1.437067985534668,-1.9909143447875977
8.934378623962402,1.333475112915039,-1.929253339767456
9.013533592224121,1.230180263519287,-1.8679797649383545
9.096264839172363,1.1314153671264648,-1.798003911972046
9.267687797546387,0.9144246578216553,-1.6633868217468262
9.354829788208008,0.7956326007843018,-1.585930585861206
9.443521499633789,0.6769299507141113,-1.5085935592651367
9.531140327453613,0.5363225936889648,-1.431286334991455
9.613752365112305,0.4137754440307617,-1.3580024242401123
9.699583053588867,0.28127431869506836,-1.2792348861694336
9.783506393432617,0.1576840877532959,-1.216590404510498
9.946823120117188,-0.08127093315124512,-1.0703206062316895
10.035991668701172,-0.19279122352600098,-1.0041594505310059
10.126471519470215,-0.30156970024108887,-0.9337365627288818
10.218381881713867,-0.40331482887268066,-0.8651316165924072
10.31506061553955,-0.5119740962982178,-0.7920563220977783
10.413169860839844,-0.612407922744751,-0.710517168045044
10.500311851501465,-0.7174015045166016,-0.6300508975982666
10.591268539428711,-0.8153915405273438,-0.5456507205963135
10.780572891235352,-1.019120216369629,-0.3675520420074463
10.874271392822266,-1.1140108108520508,-0.2849102020263672
10.962367057800293,-1.213759183883667,-0.19890069961547852
11.052370071411133,-1.306086778640747,-0.12278556823730469
11.145234107971191,-1.3977885246276855,-0.03692507743835449
11.23511791229248,-1.4947950839996338,0.042438507080078125
11.404633522033691,-1.65596604347229,0.20226836204528809
11.48676872253418,-1.7278492450714111,0.2835392951965332
11.566758155822754,-1.7893612384796143,0.36072731018066406
11.64555549621582,-1.8464326858520508,0.4375576972961426
11.716723442077637,-1.8938183784484863,0.5127489566802979
11.791706085205078,-1.9472241401672363,0.583261251449585
11.937975883483887,-2.0393431186676025,0.7157623767852783
11.999130249023438,-2.0776093006134033,0.7638037204742432
12.062430381774902,-2.1095573902130127,0.8110702037811279
12.124180793762207,-2.14269757270813,0.8556842803955078
12.1840238571167,-2.175450325012207,0.8848905563354492
12.242794036865234,-2.2091567516326904,0.9090006351470947
12.295007705688477,-2.245187759399414,0.9323060512542725
12.354373931884766,-2.2746920585632324,0.9493827819824219
12.403368949890137,-2.29683518409729,0.9705722332000732
12.448668479919434,-2.324044704437256,0.9897053241729736
12.494802474975586,-2.3593008518218994,1.0025501251220703
12.53974437713623,-2.3790597915649414,1.0016560554504395
12.577056884765625,-2.402395009994507,1.0062456130981445
12.657880783081055,-2.433955669403076,1.00630521774292
12.691617012023926,-2.459228038787842,0.997006893157959
12.73036003112793,-2.4772584438323975,0.991135835647583
12.760281562805176,-2.5012195110321045,0.9869635105133057
12.789607048034668,-2.5206804275512695,0.9678900241851807
12.835025787353516,-2.570033073425293,0.9326040744781494
12.855052947998047,-2.5866329669952393,0.9096264839172363
12.870430946350098,-2.611011266708374,0.8888542652130127
12.88747787475586,-2.6336610317230225,0.85487961769104
12.905478477478027,-2.6657283306121826,0.8254349231719971
12.919306755065918,-2.692103385925293,0.7974505424499512
12.950778007507324,-2.7591288089752197,0.7456541061401367
12.967467308044434,-2.794414758682251,0.7135570049285889
12.98069953918457,-2.842068672180176,0.6925463676452637
12.995123863220215,-2.885967493057251,0.675886869430542
13.016939163208008,-2.942681312561035,0.6456375122070312
13.029813766479492,-3.0057430267333984,0.6388425827026367
13.053655624389648,-3.071993589401245,0.622481107711792
13.074398040771484,-3.143787384033203,0.6043910980224609
13.100624084472656,-3.2269060611724854,0.5851686000823975
13.123869895935059,-3.318309783935547,0.5725622177124023
13.176202774047852,-3.4933090209960938,0.5474984645843506
13.20803165435791,-3.5827159881591797,0.5348920822143555
13.239383697509766,-3.6790072917938232,0.5294084548950195
13.277173042297363,-3.781348466873169,0.5205273628234863
13.316512107849121,-3.8952529430389404,0.5160868167877197
13.364791870117188,-4.018902778625488,0.5125105381011963
13.417720794677734,-4.163235425949097,0.5155801773071289
13.475775718688965,-4.298418760299683,0.522226095199585
13.53609561920166,-4.445254802703857,0.527799129486084
13.612866401672363,-4.60892915725708,0.5323290824890137
13.689756393432617,-4.7723352909088135,0.5536973476409912
13.768911361694336,-4.931330680847168,0.5574822425842285
13.853311538696289,-5.113333463668823,0.5773603916168213
13.950824737548828,-5.301356315612793,0.6025731563568115
14.051556587219238,-5.494445562362671,0.6244480609893799
14.161229133605957,-5.707532167434692,0.643610954284668
14.269709587097168,-5.92803955078125,0.6676316261291504
14.49882984161377,-6.370991468429565,0.7236301898956299
14.615774154663086,-6.592810153961182,0.7631778717041016
14.74297046661377,-6.828516721725464,0.8085668087005615
14.873504638671875,-7.058918476104736,0.8641183376312256
15.00844955444336,-7.2927772998809814,0.9156167507171631
15.143156051635742,-7.513523101806641,0.9672045707702637
15.284299850463867,-7.7450573444366455,1.0103881359100342
15.42353630065918,-7.9711973667144775,1.0526478290557861
15.555858612060547,-8.209258317947388,1.0911822319030762
15.683293342590332,-8.446305990219116,1.1379718780517578
15.912652015686035,-8.928239345550537,1.2004673480987549
16.014575958251953,-9.158849716186523,1.2310147285461426
16.120195388793945,-9.414643049240112,1.2514591217041016
16.222000122070312,-9.656786918640137,1.2742578983306885
16.315698623657227,-9.885191917419434,1.2942254543304443
16.417503356933594,-10.11154055595398,1.320570707321167
16.51322841644287,-10.334879159927368,1.35117769241333
16.6168212890625,-10.55002212524414,1.366257667541504
16.707420349121094,-10.76596975326538,1.395106315612793
16.78943634033203,-10.976076126098633,1.4079511165618896
16.87014102935791,-11.179864406585693,1.4214515686035156
16.945600509643555,-11.393517255783081,1.4441311359405518
17.028093338012695,-11.607080698013306,1.4609992504119873
17.10689067840576,-11.827975511550903,1.4710724353790283
17.190933227539062,-12.063831090927124,1.4779865741729736
17.26984977722168,-12.296289205551147,1.4875829219818115
17.351984977722168,-12.51879334449768,1.5104413032531738
17.42851734161377,-12.744009494781494,1.5301406383514404
17.59946346282959,-13.182282447814941,1.5908479690551758
17.689228057861328,-13.39218020439148,1.6207396984100342
17.783403396606445,-13.610482215881348,1.6552209854125977
17.877578735351562,-13.81617784500122,1.6892552375793457
17.978549003601074,-14.015257358551025,1.7140209674835205
18.0891752243042,-14.225691556930542,1.7422735691070557
18.204331398010254,-14.445096254348755,1.7688274383544922
18.3335542678833,-14.6675705909729,1.7937719821929932
18.45991611480713,-14.882683753967285,1.8165409564971924
18.591880798339844,-15.088587999343872,1.8407106399536133
18.865227699279785,-15.526235103607178,1.8968582153320312
19.015908241271973,-15.762001276016235,1.9354820251464844
19.172251224517822,-15.989571809768677,1.9716620445251465
19.332468509674072,-16.22462272644043,2.0189881324768066
19.49554681777954,-16.452908515930176,2.060025930404663
19.66148614883423,-16.68262481689453,2.1068453788757324
20.029902458190918,-17.151445150375366,2.2034943103790283
20.231187343597412,-17.37728714942932,2.250105142593384
20.433783531188965,-17.61147379875183,2.289384603500366
20.646274089813232,-17.843037843704224,2.3215115070343018
20.860135555267334,-18.095821142196655,2.3530125617980957
21.088838577270508,-18.36732029914856,2.392679452896118
