time,x,y,z
(2.414057999999999+0j),(102.70627769861096+0j),(-84.30145243013052+0j),(61.547829758141695+0j)
(2.4185546999999996+0j),(103.1551694313819+0j),(-84.39488958557048+0j),(61.6854289653975+0j)
(2.4235162+0j),(103.62285806128514+0j),(-84.50306025698775+0j),(61.80960803850368+0j)
(2.428025400000001+0j),(104.09764115098595+0j),(-84.60661608355298+0j),(61.9476746044669+0j)
(2.4325619000000014+0j),(104.61541015928418+0j),(-84.68690526648757+0j),(62.08754584809716+0j)
(2.437742000000002+0j),(105.61415155425753+0j),(-84.87813629412274+0j),(62.39015895093343+0j)
(2.4423551999999997+0j),(106.07056724836758+0j),(-85.01739708181239+0j),(62.54366822145966+0j)
(2.4470253999999994+0j),(106.52979143596968+0j),(-85.10714130091307+0j),(62.69382613512461+0j)
(2.4525571999999993+0j),(106.98240692739924+0j),(-85.19646875573308+0j),(62.83185737334919+0j)
(2.4570214000000004+0j),(107.47285101648531+0j),(-85.33176694985622+0j),(62.98662776897937+0j)
(2.4620215000000005+0j),(107.92750891781998+0j),(-85.48309188614488+0j),(63.13347105626105+0j)
(2.4670430999999997+0j),(108.87607402964571+0j),(-85.7536443082985+0j),(63.46522472403303+0j)
(2.4712608000000014+0j),(109.34812978353612+0j),(-85.87043470444732+0j),(63.62453859654604+0j)
(2.4760690000000007+0j),(109.80431457975845+0j),(-86.01336123885608+0j),(63.76192861245789+0j)
(2.4805587000000013+0j),(110.26456795662513+0j),(-86.1154152826808+0j),(63.91834320699974+0j)
(2.485556100000002+0j),(110.70450580089803+0j),(-86.23882899466874+0j),(64.07816983159067+0j)
(2.4895251+0j),(111.15734466198748+0j),(-86.36688425318341+0j),(64.2474097969013+0j)
(2.493573200000002+0j),(111.58974157084907+0j),(-86.5080783707371+0j),(64.42154285346089+0j)
(2.4985590999999996+0j),(112.03109186727934+0j),(-86.64455956696901+0j),(64.57902362877171+0j)
(2.5041735999999997+0j),(113.01799665356721+0j),(-86.86719976122546+0j),(64.9036472683958+0j)
(2.5090404999999993+0j),(113.47565565066242+0j),(-86.97164009999621+0j),(65.07587628271136+0j)
(2.5130771999999997+0j),(113.93318147296544+0j),(-87.08522833659157+0j),(65.25412552505794+0j)
(2.517061700000001+0j),(114.3952806302602+0j),(-87.17403727013885+0j),(65.43138149609543+0j)
(2.5225297000000015+0j),(114.84160512927127+0j),(-87.24405580277335+0j),(65.5969231081619+0j)
(2.5265716000000022+0j),(115.3180299615266+0j),(-87.34886669637059+0j),(65.78227690791313+0j)
(2.531588000000001+0j),(115.76789645639421+0j),(-87.4393124360659+0j),(65.93898040870828+0j)
(2.536091400000002+0j),(116.21316578897388+0j),(-87.54176897588805+0j),(66.10797978189262+0j)
(2.5406016000000005+0j),(116.67528288198764+0j),(-87.66827408110468+0j),(66.27345077994964+0j)
(2.5451020999999994+0j),(117.16813914949017+0j),(-87.80636553181347+0j),(66.43751318627514+0j)
(2.5501340999999993+0j),(118.09679164451327+0j),(-88.05962084070525+0j),(66.79476860090064+0j)
(2.5550578999999995+0j),(118.55259726822783+0j),(-88.20733615415017+0j),(66.93853523798074+0j)
(2.5595885999999997+0j),(118.99742045040607+0j),(-88.36170541580103+0j),(67.08189215665409+0j)
(2.5645749999999996+0j),(119.43958350757745+0j),(-88.4949123152548+0j),(67.22676142230662+0j)
(2.569089+0j),(119.89617230644187+0j),(-88.62859680209318+0j),(67.39138204098114+0j)
(2.5735565000000005+0j),(120.35355072172503+0j),(-88.76250155768109+0j),(67.53411706967461+0j)
(2.5775874000000005+0j),(120.7938883717226+0j),(-88.9172281416711+0j),(67.68461863185314+0j)
(2.582071000000001+0j),(121.2216383039307+0j),(-89.07042940866138+0j),(67.82292432577997+0j)
(2.586905500000002+0j),(121.65612358263336+0j),(-89.2044536806282+0j),(67.9790989632615+0j)
(2.591928600000001+0j),(122.56856276767265+0j),(-89.49181741526132+0j),(68.34354003048874+0j)
(2.5965617000000005+0j),(123.01011129457758+0j),(-89.6329819389965+0j),(68.50343722180499+0j)
(2.6011086999999993+0j),(123.43178485038901+0j),(-89.76213277311145+0j),(68.67120909545493+0j)
(2.6065853000000008+0j),(123.84063783450888+0j),(-89.89283527645114+0j),(68.82788875235578+0j)
(2.611056800000002+0j),(124.26524326237835+0j),(-90.0315795444337+0j),(68.9903359325007+0j)
(2.615555800000001+0j),(124.71993042229869+0j),(-90.16839141575268+0j),(69.14192483594802+0j)
(2.6200552000000012+0j),(125.15704328705844+0j),(-90.25955650048941+0j),(69.29894292472923+0j)
(2.6245534999999993+0j),(125.5797757982082+0j),(-90.38114826660187+0j),(69.46037888917913+0j)
(2.6290923999999993+0j),(126.01514894422502+0j),(-90.49962856992074+0j),(69.63463220124555+0j)
(2.6341064999999997+0j),(126.89957672059353+0j),(-90.73956004193512+0j),(70.00213741815797+0j)
(2.638592000000001+0j),(127.32247077801685+0j),(-90.84963607196501+0j),(70.16809486945121+0j)
(2.6430928+0j),(127.73922084938464+0j),(-90.9804342867657+0j),(70.33386047508635+0j)
(2.6481320999999998+0j),(128.16993260831524+0j),(-91.1216281639156+0j),(70.49882719539788+0j)
(2.6521279999999994+0j),(128.61010525817358+0j),(-91.24779921282335+0j),(70.67675867844262+0j)
(2.656101699999999+0j),(129.02775227823923+0j),(-91.3874818707329+0j),(70.86022817893472+0j)
(2.661116399999999+0j),(129.45043938096364+0j),(-91.50901285019512+0j),(71.02724790634646+0j)
(2.6656391999999993+0j),(129.8715339105456+0j),(-91.6664785452629+0j),(71.1959717509969+0j)
(2.6705915000000022+0j),(130.30927107245412+0j),(-91.83391128154545+0j),(71.3643393307314+0j)
(2.6756258000000006+0j),(131.14227468193008+0j),(-92.09201352640241+0j),(71.73845081324342+0j)
(2.6806338000000007+0j),(131.56356193675276+0j),(-92.23423271865167+0j),(71.89717105737213+0j)
(2.684694600000002+0j),(131.99872074795636+0j),(-92.38639857844448+0j),(72.06457190242112+0j)
(2.6900955+0j),(132.44740972066901+0j),(-92.56144789948979+0j),(72.24202441485816+0j)
(2.6950901+0j),(132.85902979981768+0j),(-92.73073459720709+0j),(72.40698670492789+0j)
(2.700591700000002+0j),(133.65689168785772+0j),(-93.01712699926988+0j),(72.77426098337308+0j)
(2.705152400000001+0j),(134.10172923670032+0j),(-93.16552655007956+0j),(72.9599797616378+0j)
(2.7096275999999992+0j),(134.5378432115549+0j),(-93.31647217142856+0j),(73.13792552084043+0j)
(2.7141500999999995+0j),(134.95453180559542+0j),(-93.46808803186892+0j),(73.31405889510253+0j)
(2.7186296999999993+0j),(135.3596830272926+0j),(-93.6145118798243+0j),(73.50120554993843+0j)
(2.7236039000000023+0j),(135.77131607401012+0j),(-93.78883525192275+0j),(73.67712303076306+0j)
(2.728126999999999+0j),(136.190250911965+0j),(-93.96950342385155+0j),(73.87105998823095+0j)
(2.733319800000002+0j),(137.00965941762698+0j),(-94.22194611892905+0j),(74.28513016504671+0j)
(2.7386408000000007+0j),(137.44839802626853+0j),(-94.38625318819868+0j),(74.45267966186829+0j)
(2.742658799999999+0j),(137.86270515613163+0j),(-94.55096643481697+0j),(74.6453602313384+0j)
(2.747117600000001+0j),(138.29189421436203+0j),(-94.72182636561273+0j),(74.81304040827257+0j)
(2.7513588+0j),(138.7012884975309+0j),(-94.87707508577645+0j),(75.00387613484762+0j)
